0.55,1.5,0.8,10,1790.0380115860614,440.0
0.4,1.1,0.8,20,927.8788875118876,1258.84
0.4,1.1,0.3,10,2244.263823849156,2466.76
0.55,1.1,0.3,10,728.5243660652014,341.44
0.4,1.5,0.3,10,1011.3781561855582,1982.34
0.55,1.5,0.3,10,686.9201936522054,151.58
0.4,1.1,0.8,10,562.2121585749494,1759.38
0.4,1.5,0.8,10,1135.4428924656997,2014.22
0.4,1.1,0.3,20,831.8548310143743,1945.06
0.55,1.1,0.3,20,625.5010565110452,519.48
0.4,1.5,0.3,20,877.5844547556209,1832.62
0.55,1.5,0.3,20,869.4855416873205,582.92
0.55,1.1,0.8,20,542.4674968906935,428.52
0.4,1.5,0.8,20,923.037000187004,2005.08
0.55,1.5,0.8,20,613.4446446951099,298.22
